participant,trial_num,image,identity,expression,correct_valence,correct_answer,response_key,response,correct,rt
01,1,CFD-WM-031-004-HO.jpg,WM-031,HO,positive,happy,h,happy,True,1.537390400073491
01,2,CFD-BM-020-001-N.jpg,BM-020,N,neutral,neutral,g,neutral,True,1.3332673000404611
01,3,CFD-WF-006-006-HO.jpg,WF-006,HO,positive,happy,h,happy,True,0.942823400022462
01,4,CFD-WM-018-007-A.jpg,WM-018,A,negative,angry,f,angry,True,2.43683909997344
01,5,CFD-BM-033-003-N.jpg,BM-033,N,neutral,neutral,g,neutral,True,0.5814942000433803
01,6,CFD-WM-018-002-N.jpg,WM-018,N,neutral,neutral,g,neutral,True,0.7767922999337316
01,7,CFD-WF-015-014-A.jpg,WF-015,A,negative,angry,f,angry,True,1.4620575999142602
01,8,CFD-BM-020-037-A.jpg,BM-020,A,negative,angry,f,angry,True,0.842242700047791
01,9,CFD-BF-029-038-HC.jpg,BF-029,HC,positive,happy,h,happy,True,0.6621607000706717
01,10,CFD-BM-033-026-HC.jpg,BM-033,HC,positive,happy,h,happy,True,0.7062848000787199
01,11,CFD-BM-036-037-A.jpg,BM-036,A,negative,angry,f,angry,True,0.790644200053066
01,12,CFD-WM-031-003-N.jpg,WM-031,N,neutral,neutral,g,neutral,True,0.6397441999288276
01,13,CFD-BF-031-020-A.jpg,BF-031,A,negative,angry,f,angry,True,1.0490478000137955
01,14,CFD-BF-043-003-N.jpg,BF-043,N,neutral,neutral,g,neutral,True,0.8051720999646932
01,15,CFD-WM-033-006-HC.jpg,WM-033,HC,positive,happy,h,happy,True,0.8949783999705687
01,16,CFD-BM-033-032-A.jpg,BM-033,A,negative,angry,f,angry,True,0.9492249999893829
01,17,CFD-WF-019-005-N.jpg,WF-019,N,neutral,neutral,g,neutral,True,1.1134392999811098
01,18,CFD-BF-043-004-HO.jpg,BF-043,HO,positive,happy,h,happy,True,0.6758934000972658
01,19,CFD-BM-036-004-HO.jpg,BM-036,HO,positive,happy,h,happy,True,0.5862759000156075
01,20,CFD-BF-031-002-N.jpg,BF-031,N,neutral,neutral,g,neutral,True,0.7170922999503091
01,21,CFD-WF-006-019-A.jpg,WF-006,A,negative,angry,f,angry,True,0.879723499994725
01,22,CFD-BF-031-048-HC.jpg,BF-031,HC,positive,happy,h,happy,True,1.103429100010544
01,23,CFD-WM-031-045-A.jpg,WM-031,A,negative,angry,f,angry,True,1.135441999998875
01,24,CFD-BF-043-038-A.jpg,BF-043,A,negative,angry,f,angry,True,0.8484522000653669
01,25,CFD-WM-018-004-HO.jpg,WM-018,HO,positive,happy,h,happy,True,0.6361468000104651
01,26,CFD-WF-015-022-HO.jpg,WF-015,HO,positive,happy,h,happy,True,0.6568009000038728
01,27,CFD-WM-033-014-A.jpg,WM-033,A,negative,angry,f,angry,True,1.075003599980846
01,28,CFD-BM-036-003-N.jpg,BM-036,N,neutral,neutral,g,neutral,True,0.6272976000327617
01,29,CFD-WF-015-006-N.jpg,WF-015,N,neutral,neutral,g,neutral,True,0.7714858999243006
01,30,CFD-WF-019-015-A.jpg,WF-019,A,negative,angry,g,neutral,False,0.5837834000121802
01,31,CFD-WF-006-002-N.jpg,WF-006,N,neutral,neutral,g,neutral,True,0.5629463000223041
01,32,CFD-BF-029-046-A.jpg,BF-029,A,negative,angry,g,neutral,False,0.6522296000039205
01,33,CFD-WF-019-032-HC.jpg,WF-019,HC,positive,happy,g,neutral,False,0.5797813000390306
01,34,CFD-BF-029-031-N.jpg,BF-029,N,neutral,neutral,g,neutral,True,0.5336860999232158
01,35,CFD-BM-020-024-HC.jpg,BM-020,HC,positive,happy,g,neutral,False,0.5936387000838295
01,36,CFD-WM-033-025-N.jpg,WM-033,N,neutral,neutral,g,neutral,True,0.6233842999208719
